jahr,total,heat resistant pct,not heat resistant pct
1600,11.0,0.0,9.090909090909092
1616,1.0,0.0,100.0
1815,171.0,0.0,0.5847953216374269
1851,1.0,0.0,0.0
1856,2.0,0.0,50.0
1866,9.0,0.0,22.22222222222222
1876,57.0,0.0,43.859649122807014
1881,6.0,0.0,16.666666666666664
1886,16.0,6.25,18.75
1891,3.0,33.33333333333333,0.0
1896,29.0,0.0,6.896551724137931
1901,3.0,0.0,66.66666666666666
1906,12.0,0.0,66.66666666666666
1911,3.0,33.33333333333333,0.0
1916,44.0,2.272727272727273,13.636363636363635
1917,1.0,100.0,0.0
1921,4.0,0.0,25.0
1926,35.0,2.857142857142857,37.142857142857146
1930,1.0,100.0,0.0
1931,11.0,0.0,18.181818181818183
1936,349.0,1.4326647564469914,5.157593123209169
1941,10.0,0.0,10.0
1946,300.0,0.6666666666666667,9.333333333333334
1950,2.0,0.0,0.0
1951,2.0,0.0,50.0
1954,1.0,100.0,0.0
1956,538.0,1.486988847583643,20.260223048327138
1960,12.0,0.0,16.666666666666664
1961,9.0,0.0,22.22222222222222
1966,769.0,4.811443433029909,16.514954486345903
1970,3.0,33.33333333333333,0.0
1971,40.0,10.0,2.5
1976,1011.0,2.7695351137487636,29.475766567754697
1980,4.0,0.0,0.0
1981,74.0,2.7027027027027026,32.432432432432435
1985,6.0,0.0,0.0
1986,481.0,3.5343035343035343,7.6923076923076925
1990,8.0,0.0,0.0
1991,300.0,5.666666666666666,1.3333333333333335
1992,4.0,0.0,100.0
1993,161.0,0.0,9.316770186335404
1994,73.0,0.0,15.068493150684931
1995,2.0,0.0,0.0
1996,539.0,3.710575139146568,28.57142857142857
1998,14.0,0.0,0.0
1999,43.0,0.0,37.2093023255814
2000,7.0,0.0,0.0
2001,414.0,6.521739130434782,6.763285024154589
2002,89.0,0.0,0.0
2003,4.0,0.0,0.0
2004,20.0,0.0,0.0
2005,5.0,0.0,0.0
2006,297.0,6.397306397306397,15.151515151515152
2007,6.0,0.0,0.0
2008,65.0,4.615384615384616,52.307692307692314
2009,10.0,10.0,10.0
2010,27.0,11.11111111111111,7.4074074074074066
2011,190.0,9.473684210526317,4.2105263157894735
2012,31.0,6.451612903225806,0.0
2013,168.0,13.690476190476192,9.523809523809524
2014,184.0,16.304347826086957,3.804347826086957
2015,402.0,1.9900497512437811,7.711442786069651
2016,326.0,4.294478527607362,23.92638036809816
2017,755.0,7.549668874172186,7.549668874172186
2018,37.0,16.216216216216218,0.0
2019,139.0,23.741007194244602,2.877697841726619
2020,119.0,37.81512605042017,0.0
2021,127.0,37.79527559055118,1.574803149606299
2022,159.0,10.062893081761008,0.628930817610063
2023,124.0,36.29032258064516,2.4193548387096775
2024,186.0,19.35483870967742,1.0752688172043012
2025,76.0,5.263157894736842,3.9473684210526314
